params,strict_success,loose_success,avg_sim_success,avg_steps
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 512}",0.2463768115942029,0.2668371696504689,0.7443592025527759,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 1024}",0.23273657289002558,0.2531969309462916,0.7463643056460825,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 2048}",0.19948849104859334,0.21909633418584826,0.7581410023363842,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 256}",0.2898550724637681,0.33248081841432225,0.72091143780072,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 512}",0.29241261722080136,0.32651321398124467,0.7290137293522778,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 1024}",0.289002557544757,0.31202046035805625,0.7356836137486217,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 2048}",0.27365728900255754,0.3103154305200341,0.7272191889254227,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 256}",0.22847399829497017,0.2549019607843137,0.7364470145533731,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 512}",0.2855924978687127,0.3188405797101449,0.7266976246714145,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 1024}",0.26001705029838024,0.2872975277067349,0.739902331870691,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 2048}",0.29241261722080136,0.3248081841432225,0.7362871368995318,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 256}",0.2847399829497016,0.30861040068201195,0.7418741674367261,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 512}",0.29838022165387895,0.3375959079283887,0.7311368345576044,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 1024}",0.2318840579710145,0.24381926683716965,0.7567199844517557,1.0
"{'lr': 0.0005, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 2048}",0.25831202046035806,0.2855924978687127,0.7322940543001991,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256}",0.2898550724637681,0.3205456095481671,0.7332365868387684,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512}",0.32225063938618925,0.36061381074168797,0.7313745831263813,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024}",0.2566069906223359,0.2804774083546462,0.7470571747294326,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 2048}",0.2813299232736573,0.31287297527706737,0.7342556458649202,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256}",0.3052003410059676,0.33844842284739984,0.7320225338665354,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512}",0.24893435635123615,0.2693947144075021,0.7462859003844587,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024}",0.2668371696504689,0.2898550724637681,0.7403589198003394,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 2048}",0.26427962489343565,0.29752770673486784,0.7333033513590306,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 256}",0.2668371696504689,0.29923273657289,0.731264825254856,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 512}",0.2693947144075021,0.3052003410059676,0.7368702630434449,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 1024}",0.28218243819266836,0.3188405797101449,0.7281840360998513,1.0
"{'lr': 0.0005, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 2048}",0.2557544757033248,0.2830349531116795,0.7372553391287795,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 256}",0.31628303495311166,0.35805626598465473,0.7298079364865449,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 512}",0.289002557544757,0.3188405797101449,0.7396107633137513,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 1024}",0.2770673486786019,0.3188405797101449,0.7199266011288269,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 2048}",0.2557544757033248,0.2796248934356351,0.7422759915885938,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 256}",0.30179028132992325,0.34271099744245526,0.7277396940540193,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 512}",0.22335890878090367,0.2421142369991475,0.7543560282486941,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 1024}",0.27877237851662406,0.30861040068201195,0.7366613094307203,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 2048}",0.2770673486786019,0.30605285592497866,0.7355911947354933,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 256}",0.30008525149190113,0.3256606990622336,0.7350631573349947,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 512}",0.27791986359761295,0.3111679454390452,0.731466315561523,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 1024}",0.23870417732310314,0.25831202046035806,0.7507541121293174,1.0
"{'lr': 0.0005, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 2048}",0.2566069906223359,0.2813299232736573,0.7387909716324711,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 256}",0.28815004262574595,0.3307757885763001,0.7220479843137609,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 512}",0.3052003410059676,0.32651321398124467,0.7400492982575422,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 1024}",0.2710997442455243,0.29838022165387895,0.7384311380976202,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 2048}",0.2898550724637681,0.3213981244671782,0.7356351765344848,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 256}",0.23273657289002558,0.2557544757033248,0.7514927010280835,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 512}",0.2915601023017903,0.3188405797101449,0.7364298882747334,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 1024}",0.2915601023017903,0.3248081841432225,0.7318554574801018,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 2048}",0.28388746803069054,0.3111679454390452,0.736843224031055,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 256}",0.26427962489343565,0.2932651321398124,0.7359594105042897,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 512}",0.23870417732310314,0.25404944586530265,0.7513129166371848,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 1024}",0.26001705029838024,0.2847399829497016,0.73897112442512,1.0
"{'lr': 0.0005, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 2048}",0.2506393861892583,0.27877237851662406,0.7319428227943374,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 256}",0.21227621483375958,0.22421142369991476,0.7602289954764444,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 512}",0.26001705029838024,0.2932651321398124,0.7264739271052306,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 1024}",0.26768968456947995,0.30775788576300084,0.7254986565132447,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 2048}",0.26427962489343565,0.2949701619778346,0.7237879452543687,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 256}",0.23444160272804773,0.2608695652173913,0.7437013676858695,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 512}",0.22335890878090367,0.24296675191815856,0.7397122509028377,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 1024}",0.2421142369991475,0.27791986359761295,0.7281047794131553,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 2048}",0.21994884910485935,0.23955669224211423,0.7511788818827082,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 256}",0.2318840579710145,0.2591645353793691,0.740584865459277,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 512}",0.2028985507246377,0.22250639386189258,0.7509216437994318,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 1024}",0.216538789428815,0.24467178175618073,0.7385959502092196,1.0
"{'lr': 0.0001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 2048}",0.24467178175618073,0.2617220801364024,0.7506026868303172,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256}",0.216538789428815,0.23955669224211423,0.7473034074758844,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512}",0.2710997442455243,0.30264279624893436,0.7278725430855121,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024}",0.2770673486786019,0.3069053708439898,0.7401714131903968,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 2048}",0.29838022165387895,0.340153452685422,0.7189761675205211,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256}",0.24893435635123615,0.2728047740835465,0.7394943553911238,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512}",0.24467178175618073,0.2625745950554135,0.7407092555626953,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024}",0.2591645353793691,0.2855924978687127,0.7335890907320198,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 2048}",0.20886615515771526,0.2259164535379369,0.7474756654807587,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 256}",0.226768968456948,0.24552429667519182,0.7483665740975617,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 512}",0.23273657289002558,0.26001705029838024,0.7397324401933367,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 1024}",0.22847399829497017,0.24722932651321397,0.7497861189201732,1.0
"{'lr': 0.0001, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 2048}",0.26001705029838024,0.29241261722080136,0.7367446254904139,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 256}",0.21568627450980393,0.23870417732310314,0.7468326080456281,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 512}",0.2659846547314578,0.2949701619778346,0.7354512221038407,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 1024}",0.289002557544757,0.3205456095481671,0.7373110046147361,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 2048}",0.26854219948849106,0.2966751918158568,0.7341381140167885,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 256}",0.2318840579710145,0.25831202046035806,0.7441658632498628,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 512}",0.22762148337595908,0.2421142369991475,0.7492251533943506,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 1024}",0.22932651321398123,0.25234441602728047,0.7372371603215537,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 2048}",0.23017902813299232,0.24467178175618073,0.7551345309670595,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 256}",0.2216538789428815,0.2412617220801364,0.7464379253605815,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 512}",0.23870417732310314,0.26427962489343565,0.7461864248973863,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 1024}",0.20801364023870417,0.236999147485081,0.7357736039086906,1.0
"{'lr': 0.0001, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 2048}",0.2259164535379369,0.2549019607843137,0.7272355310876035,1.0
